MLFQ CLEANED TRACE
Only mlfqtest processes (PIDs 3-7). Duplicate observations removed. Original values preserved.

TICK PID STATE QUEUE SLICE TOTAL INQ ARR FIRST DONE WAIT RESP TURN
41 3 runble 1 0 1 1 38 38 0 0 0 0
41 4 runble 1 0 1 1 38 39 0 1 1 0
41 5 runble 1 0 1 1 38 40 0 2 2 0
41 6 run 0 0 0 0 38 41 0 3 3 0
41 7 runble 0 0 0 1 38 0 0 0 0 0
44 3 run 1 1 2 0 38 38 0 4 0 0
44 4 runble 1 0 1 1 38 39 0 1 1 0
44 5 runble 1 0 1 1 38 40 0 2 2 0
44 6 runble 1 0 1 1 38 41 0 3 3 0
44 7 runble 1 0 1 1 38 42 0 4 4 0
46 3 run 1 3 4 0 38 38 0 4 0 0
46 4 runble 1 0 1 1 38 39 0 1 1 0
46 5 runble 1 0 1 1 38 40 0 2 2 0
46 6 runble 1 0 1 1 38 41 0 3 3 0
46 7 runble 1 0 1 1 38 42 0 4 4 0
48 3 runble 2 0 5 1 38 38 0 4 0 0
48 4 runble 1 0 2 0 38 39 0 8 1 0
48 5 runble 1 0 1 1 38 40 0 2 2 0
48 6 runble 1 0 1 1 38 41 0 3 3 0
48 7 runble 1 0 1 1 38 42 0 4 4 0
49 3 runble 1 0 6 1 38 38 0 5 0 0
49 4 run 0 0 2 0 38 39 0 9 1 0
49 5 runble 0 0 1 1 38 40 0 2 2 0
49 6 runble 0 0 1 1 38 41 0 3 3 0
49 7 runble 0 0 1 1 38 42 0 4 4 0
51 3 runble 1 0 6 1 38 38 0 5 0 0
51 4 runble 1 0 3 1 38 39 0 9 1 0
51 5 runble 1 0 2 1 38 40 0 11 2 0
51 6 run 0 0 1 0 38 41 0 12 3 0
51 7 runble 0 0 1 1 38 42 0 4 4 0
52 3 runble 1 0 6 1 38 38 0 5 0 0
52 4 runble 1 0 3 1 38 39 0 9 1 0
52 5 runble 1 0 2 1 38 40 0 11 2 0
52 6 runble 1 0 2 1 38 41 0 12 3 0
52 7 run 0 0 1 0 38 42 0 13 4 0
54 3 run 1 1 7 0 38 38 0 9 0 0
54 4 runble 1 0 3 1 38 39 0 9 1 0
54 5 runble 1 0 2 1 38 40 0 11 2 0
54 6 runble 1 0 2 1 38 41 0 12 3 0
54 7 runble 1 0 2 1 38 42 0 13 4 0
55 3 run 1 2 8 0 38 38 0 9 0 0
55 4 runble 1 0 3 1 38 39 0 9 1 0
55 5 runble 1 0 2 1 38 40 0 11 2 0
55 6 runble 1 0 2 1 38 41 0 12 3 0
55 7 runble 1 0 2 1 38 42 0 13 4 0
57 3 runble 2 0 10 1 38 38 0 9 0 0
57 4 run 1 0 3 0 38 39 0 16 1 0
57 5 runble 1 0 2 1 38 40 0 11 2 0
